Page,URL,Section,Section Heading,Image File,Image Path,Image Description,Image Role,Current Placement,Content Topic,Content Domain,Semantic Match,Placement Correct,Alt Text Present,Alt Text Accurate,Duplicate Asset,Existing Better Asset,Recommended Action,Priority,Reason,Source Evidence,Implementation Notes
about.html,/about,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
about.html,/about,The Problem,"VIIX replaces that patchwork with one managed-services partner — one team, one relationship, one service agreement.",pexels-mikael-blomkvist-6483582.jpg,img/pexels-mikael-blomkvist-6483582.jpg,Laptop screen reading Digital Marketing on styled desk,Content,The Problem,Patchwork of freelancers/providers; one accountable partner,Multi-domain,WEAK,CORRECT,YES,NO,YES,img/pexels-cottonbro-6804093.jpg or img/legacy/hands.jpg,REPLACE,P1,Literal Digital Marketing desk understates multi-domain patchwork narrative; alt About VIIX is generic.,Screen text Digital Marketing vs copy covering tech/marketing/ops.,"Prefer cottonbro Kanban, hands, or remote-services lifestyle."
about.html,/about,Who we are card,"Managed services across technology, operations, marketing, and customer management",about-mission.jpg,img/legacy/about-mission.jpg,Man and woman at outdoor cafe using tablet and smartphone,Content,Who we are card,Who we are,Brand,WEAK,CORRECT,YES,WEAK,NO,,KEEP,P3,Generic lifestyle tech use; acceptable brand editorial.,Cafe tablet/phone scene.,
about.html,/about,How we help card,Who we are,about-plan.jpg,img/legacy/about-plan.jpg,Hands writing notes beside silver laptop,Content,How we help card,How we help,Business Operations,PASS,CORRECT,YES,WEAK,NO,,ALT-TEXT ONLY,P3,Planning/writing visual fits; alt How we help is non-descriptive.,Hands writing beside laptop.,Improve alt to describe writing/planning without keyword stuffing.
about.html,/about,Where we work card,How we help,about-vision.jpg,img/legacy/about-vision.jpg,Hands reviewing printed landscape photo in front of photo-grid monitor,Content,Where we work card,Where we work / markets,Brand,MISMATCH,CORRECT,YES,NO,NO,carousel-1.jpg or about-mission.jpg reposition,REPLACE,P1,"Photo-print review implies creative studio, not geographic/market presence.",Printed landscape photo vs photo grid on monitor.,Do not invent location imagery; use geography-neutral brand editorial.
about.html,/about,Chrome (nav/footer),Southern Africa,viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
service.html,/service,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
service.html,/service,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
service.html,/service,Showcase — Desktop Support,Where we show up in the work,desktop-support.jpg,img/legacy/desktop-support.jpg,Alienware gaming PC workstation with RGB peripherals,Content,Showcase — Desktop Support,Desktop Support,Technology & IT,WEAK,CORRECT,YES,WEAK,NO,legacy/remote-services.jpg or cottonbro for ops,REPLACE,P1,Alienware gaming rig for business desktop support; consumer/gaming signal.,Visual inspection of img/legacy/desktop-support.jpg,legacy/remote-services.jpg or cottonbro for ops; avoid gaming brands
service.html,/service,Showcase — Consulting,Desktop Support,remote-services.jpg,img/legacy/remote-services.jpg,Person in yellow sweater typing on silver laptop at wooden desk,Content,Showcase — Consulting,Consulting,Technology & IT,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Lifestyle laptop work acceptable for consulting.,Visual inspection of img/legacy/remote-services.jpg,
service.html,/service,Showcase — Software Development,Consulting,software-development.jpg,img/legacy/software-development.jpg,Dual monitors showing code with mechanical keyboard foreground,Content,Showcase — Software Development,Software Development,Technology & IT,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Code on dual monitors matches web/systems.,Visual inspection of img/legacy/software-development.jpg,
service.html,/service,Showcase — Branding,Software Development,branding.jpg,img/legacy/branding.jpg,"Printed design books/magazines (Mohawk, Alchemy of Design)",Content,Showcase — Branding,Branding,Digital Marketing & Media,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Printed brand/design materials match identity graphics.,Visual inspection of img/legacy/branding.jpg,
service.html,/service,Showcase — Management,Branding,hands.jpg,img/legacy/hands.jpg,Diverse hands stacked over charts/laptop — teamwork metaphor,Content,Showcase — Management,Management,Business Operations,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Teamwork metaphor fits project/product management.,Visual inspection of img/legacy/hands.jpg,
service.html,/service,Showcase — Server Management,Management,server.jpg,img/legacy/server.jpg,Professional with tablet beside glassed server-room racks,Content,Showcase — Server Management,Server Management,Technology & IT,PASS,CORRECT,YES,YES,NO,Note: not literal rack-only,KEEP,P3,Person with tablet beside server racks.,Visual inspection of img/legacy/server.jpg,Note: not literal rack-only; still IT-aligned.
service.html,/service,Showcase — Media Coverage,Server Management,media-coverage.jpg,img/legacy/media-coverage.jpg,DSLR camera on tripod showing recursive LCD preview,Content,Showcase — Media Coverage,Media Coverage,Digital Marketing & Media,PASS,CORRECT,YES,YES,NO,,KEEP,P3,DSLR/tripod matches photo & video.,Visual inspection of img/legacy/media-coverage.jpg,
service.html,/service,Showcase — Print,Media Coverage,printing.jpg,img/legacy/printing.jpg,Industrial printing press with paper in motion,Content,Showcase — Print,Print,Digital Marketing & Media,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Industrial press matches print offering.,Visual inspection of img/legacy/printing.jpg,
service.html,/service,Showcase — Procurement,Print,system-unit.jpg,img/legacy/system-unit.jpg,PC interior with EVGA GeForce GTX 1070 Ti and sleeved cables,Content,Showcase — Procurement,Procurement,Business Operations,WEAK,CORRECT,YES,WEAK,NO,Prefer neutral hardware/logistics visual if available,REPLACE,P1,Gaming GPU internals imply enthusiast PC build not wholesale/retail procurement.,Visual inspection of img/legacy/system-unit.jpg,Prefer neutral hardware/logistics visual if available; else REVIEW new asset
service.html,/service,Chrome (nav/footer),Procurement,viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
feature.html,/feature,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
feature.html,/feature,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
feature.html,/feature,Engagement Framework photo pair,How a managed-services engagement works,pexels-sejio402-6466141.jpg,img/pexels-sejio402-6466141.jpg,Older rack servers (HP/IBM/Kraftway) with fiber cabling,Content,Engagement Framework photo pair,Discovery / how engagement works,Managed services process,MISMATCH,CORRECT,YES,NO,NO,img/legacy/about-plan.jpg or img/legacy/hands.jpg,REPLACE,P0,Alt Discovery workshop but image is aged server racks (Kraftway/IBM); contradicts discovery workshop meaning.,Visual: rack servers + fiber; alt claims Discovery workshop.,"Replace with workshop/meeting/planning asset (about-plan, hands, remote-services)."
feature.html,/feature,Engagement Framework photo pair,How a managed-services engagement works,pexels-pachon-in-motion-426015731-30547581.jpg,img/pexels-pachon-in-motion-426015731-30547581.jpg,Abstract red/orange illuminated digital tunnel,Content,Engagement Framework photo pair,Implementation / engagement process,Managed services process,MISMATCH,CORRECT,YES,NO,NO,img/pexels-cottonbro-6804093.jpg or img/legacy/software-development.jpg,REPLACE,P0,Alt Implementation but image is abstract red digital tunnel; no implementation/process cue.,Abstract tunnel visual.,Replace with delivery/ops visual (cottonbro Kanban or code workspace).
feature.html,/feature,Chrome (nav/footer),Scale &amp; improve,viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
price.html,/price,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
price.html,/price,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
price.html,/price,Chrome (nav/footer),Chrome (nav/footer),viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
price.html,/price,Pricing atmosphere mosaic,🇿🇦 Southern Africa,pexels-dkomov-34804018.jpg,img/pexels-dkomov-34804018.jpg,IDE overlay menu titled AI Actions over Rust source code,Decorative/atmosphere,Pricing atmosphere mosaic,Managed-services pricing / packages,Commercial,WEAK,CORRECT,N/A,N/A-decorative,NO,,REVIEW,P2,AI Actions IDE may over-imply AI product offering not in pricing copy.,IDE AI Actions menu visible.,Claim-safety visual flag.
price.html,/price,Pricing atmosphere mosaic,🇿🇦 Southern Africa,pexels-mikael-blomkvist-6483582.jpg,img/pexels-mikael-blomkvist-6483582.jpg,Laptop screen reading Digital Marketing on styled desk,Decorative/atmosphere,Pricing atmosphere mosaic,Managed-services pricing,Commercial / Marketing,WEAK,CORRECT,N/A,N/A-decorative,YES,,KEEP,P3,Generic digital marketing desk; weak but non-contradictory atmosphere.,Digital Marketing laptop.,
quote.html,/quote,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
quote.html,/quote,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
quote.html,/quote,Chrome (nav/footer),Chrome (nav/footer),viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
contact.html,/contact,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
contact.html,/contact,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
contact.html,/contact,Regional presence visuals,Email,pexels-anshul-kumar-495857555-16023919.jpg,img/pexels-anshul-kumar-495857555-16023919.jpg,Macro of HTML form code on dark editor screen,Content,Regional presence visuals,Contact / markets,Brand,MISMATCH,CORRECT,YES,NO,NO,img/carousel-1.jpg or img/legacy/about-mission.jpg,REPLACE,P0,Alt Cape Town operations but image is HTML code macro — invents geography and subject.,HTML radio inputs on screen; no Cape Town content.,OWNER: remove false geo alts; use geography-neutral brand images.
contact.html,/contact,Regional presence visuals,Email,pexels-cookiecutter-17323801.jpg,img/pexels-cookiecutter-17323801.jpg,Server racks labeled NETWORK-2 in blue datacenter lighting,Content,Regional presence visuals,Contact / markets,Brand,MISMATCH,CORRECT,YES,NO,NO,img/legacy/branding.jpg or img/pexels-leeloothefirst-7818219.jpg,REPLACE,P0,Alt Lagos creative work but image is NETWORK-2 server racks — invents geography and creative subject.,Server racks NETWORK-2.,OWNER: false geo+domain alt; replace with brand/creative asset e.g. branding.jpg or leeloothefirst.
contact.html,/contact,Chrome (nav/footer),Email,viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
team.html,/team,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
team.html,/team,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
team.html,/team,Team portraits,The founding team,ola.png,img/team/ola.png,Team portrait — Ola,Portrait,Team portraits,Leadership bios,Team,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Approved team portraits aligned to named bios.,Team PNG assets.,"Tenure strings 20+/22+ on same page are OWNER DECISION — REMOVE (copy, not image)."
team.html,/team,Team portraits,Ola,olu.png,img/team/olu.png,Team portrait — Olu,Portrait,Team portraits,Leadership bios,Team,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Approved team portraits aligned to named bios.,Team PNG assets.,"Tenure strings 20+/22+ on same page are OWNER DECISION — REMOVE (copy, not image)."
team.html,/team,Team portraits,Olu,sola.png,img/team/sola.png,Team portrait — Sola,Portrait,Team portraits,Leadership bios,Team,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Approved team portraits aligned to named bios.,Team PNG assets.,"Tenure strings 20+/22+ on same page are OWNER DECISION — REMOVE (copy, not image)."
team.html,/team,Chrome (nav/footer),Sola,viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
testimonial.html,/testimonial,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
testimonial.html,/testimonial,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-left.png,img/legacy/quote-sign-left.png,Decorative left quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-right.png,img/legacy/quote-sign-right.png,Decorative right quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-left.png,img/legacy/quote-sign-left.png,Decorative left quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-right.png,img/legacy/quote-sign-right.png,Decorative right quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-left.png,img/legacy/quote-sign-left.png,Decorative left quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-right.png,img/legacy/quote-sign-right.png,Decorative right quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-left.png,img/legacy/quote-sign-left.png,Decorative left quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-right.png,img/legacy/quote-sign-right.png,Decorative right quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-left.png,img/legacy/quote-sign-left.png,Decorative left quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Testimonials carousel,Testimonials,quote-sign-right.png,img/legacy/quote-sign-right.png,Decorative right quotation mark,Decorative,Testimonials carousel,Client quotes,Social proof,PASS,CORRECT,YES,N/A-decorative,YES,,KEEP,P3,Decorative quote marks; empty alt correct.,PNG quote ornaments.,
testimonial.html,/testimonial,Chrome (nav/footer),Abiodun Bello,viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
testimonial.html,/testimonial,Atmosphere mosaic,Abiodun Bello,pexels-freeboilergrants-1659859-7119258.jpg,img/pexels-freeboilergrants-1659859-7119258.jpg,Scrabble-style tiles spelling SEO in ascending pattern,Decorative/atmosphere,Atmosphere mosaic,Testimonials page atmosphere,Mixed,WEAK,CORRECT,N/A,N/A-decorative,NO,,REVIEW,P2,SEO tile letters not tied to testimonials content.,SEO scrabble tiles.,
testimonial.html,/testimonial,Atmosphere mosaic,Abiodun Bello,pexels-googledeepmind-17485708.jpg,img/pexels-googledeepmind-17485708.jpg,Abstract metallic/digital infrastructure render with purple glow,Decorative/atmosphere,Atmosphere mosaic,Testimonials atmosphere,Technology & IT,WEAK,CORRECT,N/A,N/A-decorative,NO,,KEEP,P3,Abstract tech acceptable as atmosphere.,Abstract render.,
testimonial.html,/testimonial,Atmosphere mosaic,Abiodun Bello,pexels-cookiecutter-17489160.jpg,img/pexels-cookiecutter-17489160.jpg,Close-up of enterprise hard-drive caddies (146GB/300GB SAS),Decorative/atmosphere,Atmosphere mosaic,Testimonials atmosphere,Technology & IT,WEAK,CORRECT,N/A,N/A-decorative,NO,,REVIEW,P2,Legacy drive capacities may date brand; unrelated to testimonials.,146GB/300GB SAS caddies.,Deferred performance/ageing note.
testimonial.html,/testimonial,Atmosphere mosaic,Abiodun Bello,pexels-tara-winstead-8386440.jpg,img/pexels-tara-winstead-8386440.jpg,White robotic hand reaching toward glowing neural-network nodes,Decorative/atmosphere,Atmosphere mosaic,Testimonials atmosphere,Technology & IT,WEAK,CORRECT,N/A,N/A-decorative,NO,,REVIEW,P3,AI/robot metaphor may over-imply capabilities.,Robotic hand.,
en-za/index.html,/en-za,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,../img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
en-za/index.html,/en-za,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,../img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
en-za/index.html,/en-za,Hero,Hero,carousel-1.jpg,../img/carousel-1.jpg,Low-angle modern glass skyscraper; corporate atmospheric,Content,Hero,ZA managed IT hero,Technology & IT,PASS,CORRECT,YES,N/A-decorative,NO,,KEEP,P3,Corporate atmospheric hero acceptable for ZA IT positioning.,Skyscraper.,
en-za/index.html,/en-za,The Problem,"Under POPIA, informal IT is a compliance risk",pexels-googledeepmind-18069694.jpg,../img/pexels-googledeepmind-18069694.jpg,Glass pillars containing glowing source code,Content,The Problem,POPIA / informal IT risk,Technology & IT,PASS,CORRECT,YES,YES,NO,,KEEP,P3,Code-in-glass pillars support technology/infrastructure narrative.,Glowing code pillars.,
en-za/index.html,/en-za,Chrome (nav/footer),Ready to consolidate your digital operations?,viixlogofull.png,../img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
en-za/index.html,/en-za,Visual mosaic,Visual mosaic,pexels-cottonbro-6804093.jpg,../img/pexels-cottonbro-6804093.jpg,Physical Kanban board on brick wall with IT/dev sticky notes,Decorative/atmosphere,Visual mosaic,ZA IT atmosphere,Technology & IT,PASS,CORRECT,N/A,N/A-decorative,NO,,KEEP,P3,Kanban/IT ops fits ZA managed IT.,Kanban board.,
en-za/index.html,/en-za,Visual mosaic,Visual mosaic,pexels-tara-winstead-8386440.jpg,../img/pexels-tara-winstead-8386440.jpg,White robotic hand reaching toward glowing neural-network nodes,Decorative/atmosphere,Visual mosaic,ZA IT atmosphere,Technology & IT,WEAK,CORRECT,N/A,N/A-decorative,NO,,REVIEW,P3,AI/robot metaphor — visual claim caution.,Robotic hand.,
