Keyword,Country,Search evidence,Commercial intent,SERP intent,Keyword type,VIIX relevance,Existing page,Priority,Decision,Opportunity score (0-35),Decision rationale,Google Keyword Planner volume,Google Keyword Planner competition,Implementation rule
IT support for accounting firms Cape Town,ZA,Directional: uncertain,High,High,Vertical service,Medium,/en-za/service,P2,MONITOR,24,"Only pursue if vertical capability/proof is genuine",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
IT support Claremont Cape Town,ZA,Directional: local,High,High,Local service,Medium,/en-za/service,P3,MONITOR,22,"Suburb-level expansion only after core Cape Town page proves viable",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
best IT company South Africa,ZA,Directional: irrelevant,Low,Low,Research/list,Low,/en-za,—,REJECT,8,"Vanity/low commercial precision",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
SEO services Cape Town,ZA,Directional: strong,High,Medium,Service,Medium,/en-za/service,—,REJECT AS PRIMARY,18,"SEO may be offered, but not the primary ZA acquisition position",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
SOC as a service Cape Town,ZA,Directional: uncertain,High,Low,Enterprise/security,Low,/en-za/service,—,REJECT,10,"Avoid unsupported SOC/MDR positioning",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
branding agency Lagos,NG,Directional: strong,High,Very high,Service,High,/en-ng/service,P1,TARGET,32,"Established commercial agency category; crowded SERP requires differentiation",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
brand identity Lagos,NG,Directional: strong,High,Very high,Service,High,/en-ng/service,P1,TARGET,32,"Strong fit with branding capability",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
website design for business Lagos,NG,Directional: strong,High,Very high,Service,High,/en-ng/service,P1,TARGET,34,"Direct commercial website-buying intent",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
professional website Nigeria,NG,Directional: moderate,High,High,Service,High,/en-ng/service,P1,TARGET,29,"Commercial but broad; needs strong positioning",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
website design Nigeria,NG,Directional: strong,High,Very high,Service,High,/en-ng/service,P1,TARGET,32,"Core commercial category; highly competitive",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
SEO for small businesses Lagos,NG,Directional: moderate,High,High,Service,High,/en-ng/service,P2,TARGET AS SUPPORTING CLUSTER,28,"Useful secondary service demand; don't let it dominate strategy",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
digital marketing agency Lagos,NG,Directional: strong,High,High,Agency,Medium,/en-ng/service,P3,MONITOR,23,"Crowded full-service agency category; differentiate before expanding",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
church website Nigeria,NG,Directional: strong,High,High,Vertical service,High,/en-ng/service,P2,TARGET AS SUPPORTING CLUSTER,30,"Real niche with dedicated competitor/service evidence; dedicated page only if gap proven",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
church branding Lagos,NG,Directional: moderate,High,High,Vertical service,High,/en-ng/service,P2,TARGET AS SUPPORTING CLUSTER,29,"Strong niche fit; dedicated page only if proof/gap supports it",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
website design for consultants Nigeria,NG,Directional: moderate,High,High,Vertical service,High,/en-ng/service,P2,TARGET AS SUPPORTING CLUSTER,29,"Strong ICP-aligned long-tail; consider future landing page only if gap proven",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
cheap website Lagos,NG,Directional: uncertain,High,Low,Price,Low,/en-ng/service,—,REJECT,7,"Conflicts with premium positioning",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
best digital agency Nigeria,NG,Directional: irrelevant,Low,Low,Research/list,Low,/en-ng,—,REJECT,8,"Vanity term; weak buyer precision",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
