Priority,Page,Section,Current Asset,Problem,Required Action,Replacement Asset,Replacement Source,Reason,SEO Impact,UX Impact,Brand Impact,Implementation Risk,Approval Required
P0,/feature,Engagement Framework photo pair,img/pexels-pachon-in-motion-426015731-30547581.jpg,Alt Implementation but image is abstract red digital tunnel; no implementation/process cue.,REPLACE,img/pexels-cottonbro-6804093.jpg or img/legacy/software-development.jpg,Existing project library,Alt Implementation but image is abstract red digital tunnel; no implementation/process cue.,Low if alts not keyword-stuffed,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/team,Team bios (copy),(none — copy claim),OWNER DECISION — REMOVE 20+/22+ years tenure claims from public bios.,REMOVE,,N/A — copy removal,OWNER DECISION — REMOVE 20+/22+ years tenure claims from public bios.,Low if alts not keyword-stuffed,High — reduces confusion,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P1,/about,The Problem,img/pexels-mikael-blomkvist-6483582.jpg,Literal Digital Marketing desk understates multi-domain patchwork narrative; alt About VIIX is generic.,REPLACE,img/pexels-cottonbro-6804093.jpg or img/legacy/hands.jpg,Existing project library,Literal Digital Marketing desk understates multi-domain patchwork narrative; alt About VIIX is generic.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/about,Where we work card,img/legacy/about-vision.jpg,"Photo-print review implies creative studio, not geographic/market presence.",REPLACE,carousel-1.jpg or about-mission.jpg reposition,Existing project library,"Photo-print review implies creative studio, not geographic/market presence.",Low if alts not keyword-stuffed,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/en-ng,Visual mosaic,../img/pexels-walls-io-440716388-15595049.jpg,Shows third-party walls.io product UI and unrelated brand logos (Ferrari etc.) — claim/brand risk.,REVIEW,img/legacy/branding.jpg,Existing project library,Shows third-party walls.io product UI and unrelated brand logos (Ferrari etc.) — claim/brand risk.,Preserve Phase 3.1 targeting; fix visuals only,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P1,/en-ng/about,About mosaic,../img/pexels-walls-io-440716388-15595049.jpg,Third-party walls.io UI / foreign logos — approval required.,REVIEW,,TBD — owner/library,Third-party walls.io UI / foreign logos — approval required.,Preserve Phase 3.1 targeting; fix visuals only,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P1,/en-ng/service,Showcase — Desktop Support,../img/legacy/desktop-support.jpg,Gaming Alienware PC weak for secondary IT card on NG brand page.,REPLACE,,TBD — owner/library,Gaming Alienware PC weak for secondary IT card on NG brand page.,Preserve Phase 3.1 targeting; fix visuals only,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/en-za/about,Where we work,../img/legacy/about-vision.jpg,Creative print review does not support where we work market narrative.,REPLACE,img/carousel-1.jpg,Existing project library,Creative print review does not support where we work market narrative.,Preserve Phase 3.1 targeting; fix visuals only,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/en-za/about,About mosaic,../img/pexels-freeboilergrants-1659859-7119258.jpg,SEO letter tiles contradict ZA primary IT positioning on about mosaic.,MOVE,img/legacy/network.jpg or img/pexels-cookiecutter-17323801.jpg,Existing project library,SEO letter tiles contradict ZA primary IT positioning on about mosaic.,Preserve Phase 3.1 targeting; fix visuals only,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/en-za/service,Showcase — Desktop Support,../img/legacy/desktop-support.jpg,Alienware gaming workstation vs SME desktop support.,REPLACE,,TBD — owner/library,Alienware gaming workstation vs SME desktop support.,Preserve Phase 3.1 targeting; fix visuals only,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/en-za/service,Showcase — Procurement,../img/legacy/system-unit.jpg,Gaming GPU interior weak for procurement logistics.,REPLACE,,TBD — owner/library,Gaming GPU interior weak for procurement logistics.,Preserve Phase 3.1 targeting; fix visuals only,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/service,Showcase — Desktop Support,img/legacy/desktop-support.jpg,Alienware gaming rig for business desktop support; consumer/gaming signal.,REPLACE,legacy/remote-services.jpg or cottonbro for ops,Existing project library,Alienware gaming rig for business desktop support; consumer/gaming signal.,Low if alts not keyword-stuffed,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,NO
P1,/service,Showcase — Procurement,img/legacy/system-unit.jpg,Gaming GPU internals imply enthusiast PC build not wholesale/retail procurement.,REPLACE,Prefer neutral hardware/logistics visual if available,Existing project library,Gaming GPU internals imply enthusiast PC build not wholesale/retail procurement.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P2,/,The Problem,img/pexels-cottonbro-6804093.jpg,Kanban/IT sticky notes only partially represent multi-vendor fragmentation; alt Digital operations is vague.,REVIEW,legacy/hands.jpg (teamwork) or keep,Existing project library,Kanban/IT sticky notes only partially represent multi-vendor fragmentation; alt Digital operations is vague.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P2,/en-ng/about,Who we serve,../img/legacy/about-vision.jpg,Photo-print creative workflow weak for who we serve audiences.,REVIEW,,TBD — owner/library,Photo-print creative workflow weak for who we serve audiences.,Preserve Phase 3.1 targeting; fix visuals only,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P2,/en-za,Visual mosaic,../img/pexels-sejio402-6466141.jpg,Aged racks + Kraftway labeling may imply outdated/enterprise SOC not claimed.,REVIEW,,TBD — owner/library,Aged racks + Kraftway labeling may imply outdated/enterprise SOC not claimed.,Preserve Phase 3.1 targeting; fix visuals only,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,NO
P2,/en-za/about,About mosaic,../img/pexels-sejio402-6466141.jpg,Legacy racks/Kraftway branding ageing + foreign OEM signal.,REVIEW,,TBD — owner/library,Legacy racks/Kraftway branding ageing + foreign OEM signal.,Preserve Phase 3.1 targeting; fix visuals only,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,NO
P2,/price,Pricing atmosphere mosaic,img/pexels-dkomov-34804018.jpg,AI Actions IDE may over-imply AI product offering not in pricing copy.,REVIEW,,TBD — owner/library,AI Actions IDE may over-imply AI product offering not in pricing copy.,Low if alts not keyword-stuffed,Medium,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P2,/testimonial,Atmosphere mosaic,img/pexels-freeboilergrants-1659859-7119258.jpg,SEO tile letters not tied to testimonials content.,REVIEW,,TBD — owner/library,SEO tile letters not tied to testimonials content.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P2,/testimonial,Atmosphere mosaic,img/pexels-cookiecutter-17489160.jpg,Legacy drive capacities may date brand; unrelated to testimonials.,REVIEW,,TBD — owner/library,Legacy drive capacities may date brand; unrelated to testimonials.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P3,/,Visual mosaic,img/pexels-tara-winstead-8386440.jpg,Robot/AI hand may over-imply AI products not claimed in copy.,REVIEW,,TBD — owner/library,Robot/AI hand may over-imply AI products not claimed in copy.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,YES
P3,/about,How we help card,img/legacy/about-plan.jpg,Planning/writing visual fits; alt How we help is non-descriptive.,ALT-TEXT ONLY,,TBD — owner/library,Planning/writing visual fits; alt How we help is non-descriptive.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P3,/en-ng/about,How we help,../img/legacy/about-plan.jpg,Planning visual OK.,ALT-TEXT ONLY,,TBD — owner/library,Planning visual OK.,Preserve Phase 3.1 targeting; fix visuals only,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P3,/en-za,Visual mosaic,../img/pexels-tara-winstead-8386440.jpg,AI/robot metaphor — visual claim caution.,REVIEW,,TBD — owner/library,AI/robot metaphor — visual claim caution.,Preserve Phase 3.1 targeting; fix visuals only,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P3,/en-za/about,Lead about visual,../img/pexels-cottonbro-6804093.jpg,Kanban fits ops; alt Southern Africa business operations over-claims geography from image.,ALT-TEXT ONLY,,TBD — owner/library,Kanban fits ops; alt Southern Africa business operations over-claims geography from image.,Preserve Phase 3.1 targeting; fix visuals only,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P3,/en-za/about,How we help,../img/legacy/about-plan.jpg,Planning visual fits.,ALT-TEXT ONLY,,TBD — owner/library,Planning visual fits.,Preserve Phase 3.1 targeting; fix visuals only,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
P3,/testimonial,Atmosphere mosaic,img/pexels-tara-winstead-8386440.jpg,AI/robot metaphor may over-imply capabilities.,REVIEW,,TBD — owner/library,AI/robot metaphor may over-imply capabilities.,Low if alts not keyword-stuffed,Medium,Medium,Low — asset swap/alt/copy only; no SEO architecture change,NO
