/en-za/team,ZA,Team,Leadership,PARTIAL,N/A,UNKNOWN,Neutral,Trust,Support,Market leadership titles per Profile,None,20+/22+ tenure claims,OWNER APPROVAL REQUIRED,P0,None,Low,Business Profile §Markets,Medium,YES,
/en-za/contact,ZA,Contact,Assessment CTA,ALIGNED,N/A,UNKNOWN,Neutral,Nav,Support,None,None,None,KEEP,P3,None,Low,—,High,NO,
/en-za/quote,ZA,Conversion,IT assessment,ALIGNED,N/A,UNKNOWN,Neutral,Conversion,Support,Expectation: MSA/SOW after assessment,None,None,KEEP — MINOR FUTURE REFINEMENT,P2,None,High,—,High,NO,
/en-ng,NG,Regional entry,Be seen then unbreakable,ALIGNED NG acquisition,ALIGNED Digital Marketing primary,PARTIAL (brands/ministries),ALIGNED support/entry,Regional entry,Support web/brand,None critical,None,None,KEEP,P3,Low,Medium,Phase 3.1 NG,High,NO,
/en-ng/about,NG,Regional about,Visibility first,ALIGNED,ALIGNED,PARTIAL,ALIGNED,Trust,Support,None critical,None,None,KEEP,P3,Low,Medium,—,High,NO,
/en-ng/service,NG,Primary commercial SEO,Website design + branding,ALIGNED acquisition; media-heavy vs full Profile,GOOD for brand/web/SEO/social; paid ads/email lighter,PARTIAL,ALIGNED primary owner,Commercial primary,/en-ng/service owns web/brand clusters,Optional supporting: analytics; brand collateral,None,Avoid cheap-web tone (currently OK),EXPAND supporting media bullets carefully,P1,High if natural,High,Phase 3.1; Directory §Digital Marketing,High,YES for paid-ads prominence,"Church niche OK as supporting ICP mention"
/en-ng/feature,NG,How we work,Visibility assessment first,ALIGNED,ALIGNED,PARTIAL,ALIGNED supporting,Process,Support,Managed-services model after media start,None,None,EXPAND lightly,P2,Low,Medium,Business Profile How We Work,High,NO,
/en-ng/price,NG,Investment,Conversation-first; mentions IT retainers,PARTIAL,PARTIAL,PARTIAL,ALIGNED,Commercial,Support,Tier; media project vs retainer distinction,None,SLA claims for IT on NG price page OK if true,Clarify media projects vs managed retainers,REVISE,P1,Low,High,Business Profile; Directory,Medium,YES,
/en-ng/testimonial,NG,Proof,Geo-neutral,ALIGNED,N/A,UNKNOWN,Neutral,Trust,Support,None,None,None,KEEP,P3,None,Medium,Gate 2,High,NO,
/en-ng/team,NG,Team,Leadership,PARTIAL,N/A,UNKNOWN,Neutral,Trust,Support,Profile roles (CTO/MD; COO),None,20+/22+ tenure,OWNER APPROVAL REQUIRED,P0,None,Low,Business Profile §Markets,Medium,YES,
/en-ng/contact,NG,Contact,Contact,ALIGNED,N/A,UNKNOWN,Neutral,Nav,Support,None,None,None,KEEP,P3,None,Low,—,High,NO,
/en-ng/quote,NG,Conversion,Brand & visibility review,ALIGNED,N/A,UNKNOWN,Neutral,Conversion,Support,None,None,None,KEEP,P3,None,High,—,High,NO,
