Page,Section,Original Asset,New Asset,Action,Reason,Alt Text Before,Alt Text After,Tenure Claim Removed,Source,Status,Notes
/feature,Engagement Framework,img/pexels-pachon-in-motion-426015731-30547581.jpg,img/pexels-cottonbro-6804093.jpg,REPLACE,P0 Implementation vs abstract tunnel,Implementation,Physical project task board with sticky notes on a brick wall,NO,Phase 4.2C P0,DONE,
/team,Ola bio,(copy),(copy refined),REMOVE,OWNER DECISION remove 20+ tenure,N/A,N/A,YES — 20+ years,Phase 4.2C P0,DONE,
/team,Olu bio,(copy),(copy refined),REMOVE,OWNER DECISION remove 22+ tenure,N/A,N/A,YES — 22+ years,Phase 4.2C P0,DONE,
/en-ng/team,Ola bio,(copy),(copy refined),REMOVE,OWNER DECISION remove 20+ tenure,N/A,N/A,YES — 20+ years,Phase 4.2C P0,DONE,
/en-ng/team,Olu bio,(copy),(copy refined),REMOVE,OWNER DECISION remove 22+ tenure,N/A,N/A,YES — 22+ years,Phase 4.2C P0,DONE,
/en-za/team,Ola bio,(copy),(copy refined),REMOVE,OWNER DECISION remove 20+ tenure,N/A,N/A,YES — 20+ years,Phase 4.2C P0,DONE,
/en-za/team,Olu bio,(copy),(copy refined),REMOVE,OWNER DECISION remove 22+ tenure,N/A,N/A,YES — 22+ years,Phase 4.2C P0,DONE,
/en-ng,The Problem,../img/pexels-cookiecutter-17489160.jpg,../img/legacy/branding.jpg,REPLACE,P0 drive bays vs Brand and visibility,Brand and visibility,Printed brand and design publications arranged on a desk,NO,Phase 4.2C P0,DONE,Chose branding.jpg not walls.io
/en-ng,Visual mosaic,../img/pexels-cookiecutter-17636234.jpg,../img/legacy/media-coverage.jpg,MOVE,P0 VoIP/datacenter out of NG brand mosaic,N/A (CSS bg),N/A (CSS bg),NO,Phase 4.2C P0,DONE,Replaced in-place with media-coverage; walls.io tile untouched
/en-ng/about,Lead about visual,../img/pexels-cookiecutter-17636234.jpg,../img/legacy/branding.jpg,REPLACE,P0 VoIP lead vs NG brand positioning,About VIIX Nigeria,Printed brand and design publications arranged on a desk,NO,Phase 4.2C P0,DONE,
/en-ng/about,Who we are card,../img/legacy/about-mission.jpg,../img/legacy/about-mission.jpg,ALT-TEXT ONLY,Non-descriptive alt,Who we are,Two people at a cafe table using a tablet and smartphone,NO,Phase 4.2C alt,DONE,
/en-ng/about,How we help card,../img/legacy/about-plan.jpg,../img/legacy/about-plan.jpg,ALT-TEXT ONLY,P3 ALT-TEXT ONLY,How we help,Hands writing notes beside an open laptop,NO,Phase 4.2C P3,DONE,
/en-ng/about,Who we serve card,../img/legacy/about-vision.jpg,../img/legacy/about-vision.jpg,ALT-TEXT ONLY,Accurate subject; image REVIEW deferred,Who we serve,Hands reviewing a printed photograph in front of a monitor,NO,Phase 4.2C P2 REVIEW image kept,DONE,Asset not replaced
/en-za/about,Lead about visual,../img/pexels-cottonbro-6804093.jpg,../img/pexels-cottonbro-6804093.jpg,ALT-TEXT ONLY,Remove invented Southern Africa geo from alt,Southern Africa business operations,Physical project task board with sticky notes on a brick wall,NO,Phase 4.2C P3,DONE,
/en-za/about,About mosaic,../img/pexels-freeboilergrants-1659859-7119258.jpg,../img/legacy/network.jpg,MOVE,P1 SEO tiles vs ZA IT about mosaic,N/A (CSS bg),N/A (CSS bg),NO,Phase 4.2C P1,DONE,SEO tile removed from ZA about; network patch panel used
/en-za/about,Who we are card,../img/legacy/about-mission.jpg,../img/legacy/about-mission.jpg,ALT-TEXT ONLY,Non-descriptive alt,Who we are,Two people at a cafe table using a tablet and smartphone,NO,Phase 4.2C alt,DONE,
/en-za/about,How we help card,../img/legacy/about-plan.jpg,../img/legacy/about-plan.jpg,ALT-TEXT ONLY,P3 ALT-TEXT ONLY,How we help,Hands writing notes beside an open laptop,NO,Phase 4.2C P3,DONE,
/en-za/about,Where we work card,../img/legacy/about-vision.jpg,../img/carousel-1.jpg,REPLACE,P1 Where we work mismatch,Where we work,Modern glass office building viewed from below,NO,Phase 4.2C P1,DONE,
/en-za,The Problem,../img/pexels-googledeepmind-18069694.jpg,../img/pexels-googledeepmind-18069694.jpg,ALT-TEXT ONLY,Describe actual code-pillar visual,Technology and infrastructure operations,Glass pillars containing illuminated lines of source code,NO,Phase 4.2C alt accuracy,DONE,
/service,Showcase Desktop Support,img/legacy/desktop-support.jpg,img/legacy/remote-services.jpg,REPLACE,P1 Alienware gaming rig; clear library alternative,Desktop support,Person typing on a laptop at a wooden desk,NO,Phase 4.2C P1,DONE,WARNING: same asset also used on Consulting card
/service,Showcase cards (alts),various legacy,same files,ALT-TEXT ONLY,Describe actual subjects on remaining cards,Generic service labels,Descriptive alts (code monitors camera press GPU etc.),NO,Phase 4.2C alt issues,DONE,Procurement image not replaced (TBD asset)
/en-za/service,Showcase card alts,various legacy,same files,ALT-TEXT ONLY,Accurate alts; Alienware/GPU image REPLACE deferred (TBD),Misleading service labels,Descriptive alts matching visuals,NO,Phase 4.2C P1 TBD + alt,DONE,Images not swapped
/en-ng/service,Showcase card alts,various legacy,same files,ALT-TEXT ONLY,Accurate alts; Alienware REPLACE deferred (TBD),Misleading/generic labels,Descriptive alts matching visuals,NO,Phase 4.2C P1 TBD + alt,DONE,Images not swapped
